# Cross-world profiling summary
# Worlds analyzed: 3k_shapes_dynamic, 3k_shapes_static, gpu_lidar, jetty_headless, sensors_demo, sensors_nonrendering
# Date: 2026-05-02 16:34
# Ranked by max_score desc, then worlds_present desc
rank	function_name	max_score	worlds_present	worst_world	cpu_range	cache_range	evidence
63	void gz::physics::OperateOnSpecifiedData<gz::physics::RequireData<gz::physics::WorldPoses>, gz::physics::FindRequired, gz::physics::detail::WriteDataOperation, gz::physics::dartsim::SimulationFeatures const>::SubOperate<gz::physics::WorldPoses, gz::physics::RequireData<gz::physics::WorldPoses>, gz::physics::SpecifyData<gz::physics::RequireData<gz::physics::WorldPoses>, gz::physics::ExpectData<gz::physics::ChangedWorldPoses, gz::physics::Contacts, gz::physics::JointPositions> > >	10	2/6	3k_shapes_dynamic (2.3%)	2.3-3.4%	-	cpu
64	gz::sim::v11::RenderUtilPrivate::CreateEntitiesRuntime	10	2/6	gpu_lidar (2.4%)	0.6-2.4%	-	cpu
65	std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::~_Rb_tree	10	2/6	3k_shapes_static (1.8%)	0.6-1.8%	0.1-0.8	cpu,cache
66	void gz::physics::OperateOnSpecifiedData<gz::physics::RequireData<gz::physics::WorldPoses>, gz::physics::FindRequired, gz::physics::detail::WriteDataOperation, gz::physics::dartsim::SimulationFeatures const>::Operate<gz::physics::SpecifyData<gz::physics::RequireData<gz::physics::WorldPoses>, gz::physics::ExpectData<gz::physics::ChangedWorldPoses, gz::physics::Contacts, gz::physics::JointPositions> > >	10	2/6	3k_shapes_dynamic (2.3%)	2.3-3.4%	-	cpu
67	gz::sim::v11::SimulationRunner::PublishStats	10	2/6	sensors_nonrendering (1.6%)	0.8-1.6%	-	cpu
68	gz::sim::v11::RenderUtilPrivate::CreateRenderingEntities	10	2/6	gpu_lidar (2.6%)	0.7-2.6%	-	cpu
69	gz::rendering::v11::Ogre2GpuRays::UpdateRenderTarget1stPass	10	2/6	gpu_lidar (2.9%)	1.1-2.9%	-	cpu
70	std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > > >::allocate	10	2/6	3k_shapes_dynamic (1.8%)	1.8-3.5%	0.1-0.4	cpu,cache
71	std::__new_allocator<std::_Rb_tree_node<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::allocate	10	2/6	3k_shapes_dynamic (1.8%)	1.8-3.5%	0.1-0.4	cpu,cache
72	gz::rendering::v11::Ogre2Scene::PreRender	10	2/6	sensors_demo (1.0%)	0.7-1.0%	-	cpu
73	gz::physics::detail::WriteDataOperation<gz::physics::WorldPoses, gz::physics::dartsim::SimulationFeatures const, gz::physics::SpecifyData<gz::physics::RequireData<gz::physics::WorldPoses>, gz::physics::ExpectData<gz::physics::ChangedWorldPoses, gz::physics::Contacts, gz::physics::JointPositions> > >::Operate	10	2/6	3k_shapes_dynamic (2.3%)	2.3-3.4%	-	cpu
74	std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_Auto_node::_Auto_node<std::pair<unsigned long, gz::math::v10::graph::Vertex<unsigned long> const&> >	10	2/6	3k_shapes_dynamic (1.8%)	1.8-3.5%	0.1-0.4	cpu,cache
75	std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_M_get_node	10	2/6	3k_shapes_dynamic (1.8%)	1.8-3.5%	0.1-0.4	cpu,cache
76	gz::rendering::v11::Ogre2GpuRays::Render	10	2/6	gpu_lidar (3.0%)	1.2-3.0%	-	cpu
77	gz::sim::v11::systems::SceneBroadcaster::PostUpdate	10	2/6	gpu_lidar (1.6%)	1.6-2.3%	0.0-0.2	cpu,cache
78	gz::sim::v11::RenderUtilPrivate::RemoveRenderingEntities	10	1/6	gpu_lidar (1.4%)	1.4-1.4%	-	cpu
